iter	Logloss
0	0.6546617587
1	0.6192121239
2	0.5865824909
3	0.5591217118
4	0.5261243539
5	0.5012989243
6	0.4722969316
7	0.4549303973
8	0.4286317132
9	0.4123972229
10	0.3896644367
11	0.3745778684
12	0.3605594455
13	0.3437404773
14	0.3345364206
15	0.323561163
16	0.3091569441
17	0.2947115332
18	0.2867176762
19	0.2748006886
20	0.2621156037
21	0.2563290741
22	0.248791895
23	0.24389438
24	0.2356243315
25	0.2265202887
26	0.2210766327
27	0.2128325672
28	0.2056966319
29	0.1997104716
30	0.1928763089
31	0.1889067356
32	0.1854407876
33	0.1785701272
34	0.1738281214
35	0.1711541405
36	0.1685058326
37	0.1663533123
38	0.1634850785
39	0.1604670623
40	0.156713765
41	0.1522595435
42	0.1487792853
43	0.1453951854
44	0.1436692175
45	0.1396419952
46	0.1326382571
47	0.1306412779
48	0.1289923311
49	0.1274333042
50	0.1256578735
51	0.1232267817
52	0.1201884874
53	0.1188995317
54	0.117379824
55	0.1152941523
56	0.11305387
57	0.1120037073
58	0.1110802501
59	0.1086522596
60	0.1074582047
61	0.1064691837
62	0.1031233286
63	0.102252217
64	0.1001084724
65	0.09791118097
66	0.09744007777
67	0.09653502878
68	0.09552718932
69	0.09473019824
70	0.09395952314
71	0.09253314109
72	0.09161643666
73	0.09110395292
74	0.0908673722
75	0.08951210018
76	0.08778884173
77	0.08647298488
78	0.08550448633
79	0.08495270828
80	0.08353281446
81	0.08207999979
82	0.08110146015
83	0.08045796382
84	0.07983070431
85	0.07945909798
86	0.07880701008
