iter	Passed	Remaining
0	174	87304
1	178	44523
2	182	30240
3	185	23043
4	192	19095
5	196	16194
6	199	14077
7	204	12564
8	208	11399
9	211	10374
10	214	9545
11	218	8871
12	223	8390
13	227	7899
14	230	7459
15	233	7070
16	239	6812
17	242	6502
18	245	6219
19	248	5967
20	254	5812
21	257	5602
22	260	5399
23	263	5231
24	269	5115
25	272	4969
26	275	4831
27	278	4691
28	281	4569
29	285	4468
30	288	4357
31	291	4261
32	294	4172
33	300	4114
34	303	4036
35	306	3944
36	309	3871
37	315	3830
38	317	3758
39	320	3688
40	323	3622
41	326	3561
42	330	3516
43	333	3455
44	337	3408
45	340	3360
46	346	3336
47	349	3292
48	352	3245
49	356	3204
50	361	3184
51	365	3145
52	368	3108
53	370	3062
54	375	3039
55	378	3004
56	381	2965
57	384	2933
58	387	2898
59	393	2885
60	396	2851
61	400	2828
62	403	2799
63	410	2794
64	413	2767
65	417	2743
66	425	2749
67	428	2724
68	432	2699
69	435	2672
70	440	2658
71	443	2636
72	446	2614
73	450	2591
74	455	2583
75	459	2562
76	463	2546
77	466	2521
78	472	2517
79	475	2498
80	478	2476
81	482	2457
82	486	2442
83	490	2429
84	493	2409
85	496	2391
86	500	2374
